username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HughSco98405053;2019-12-24 09:43;0;0;"France is in such a mess, there could be another revolution. All their illegal immigrants and Jihadis terrorist are trying to get out of France as refugees to escape to Britain. https:// twitter.com/hhepplewhite/s tatus/1209231607435071489 …";;;;"1209394191840751617";https://twitter.com/HughSco98405053/status/1209394191840751617
MeganWi90287242;2019-12-23 22:49;0;1;"Refugees are immigrants fleeing from war torn countries .... not France !";;;;"1209229555841617930";https://twitter.com/MeganWi90287242/status/1209229555841617930
DemocratDevoted;2019-12-23 21:10;0;0;"THERE ARE NO REFUGEES COMING TO BRITAIN! France is NOT at War, Nor is Belgium or Spain! Every Person who tries to enter our Country Unlawfully is an Illegal Immigrant ! Which bit of FACT and REALITY do you have a blindspot over?";;;;"1209204538441445377";https://twitter.com/DemocratDevoted/status/1209204538441445377
Mikal_Dmon;2019-12-23 18:21;0;0;"We can simply observe what Europe and France and other countries are experiencing with their immigrant / refugees communities to understand the dangers that You BLEEDING HEART LIBERALS are intending to put us through. NO THANK YOU!";;;;"1209162205872230402";https://twitter.com/Mikal_Dmon/status/1209162205872230402
anti_bars;2019-12-23 15:05;0;0;"News flash @lisanandy they ain’t Refugees and you know it. France Spain Netherlands are not war torn country’s to be fleeing from. EU law stipulates they must register at first EU country of arrival. UK they are illegal immigrants . FACT";;@lisanandy;;"1209112867653521409";https://twitter.com/anti_bars/status/1209112867653521409
elisamich0422;2019-12-23 07:46;0;0;"The fixation on colonialism is a rejection of the past in countries like England, Portugal, Spain & France who had numerous colonies & territories. This is a gesture to French immigrants / refugees & their hostility of developed countries. Is Macron apologizing for being France ? https:// twitter.com/michougall/sta tus/1208991224822161408 …";;;;"1209002276011925504";https://twitter.com/elisamich0422/status/1209002276011925504
TonyFrance7;2019-12-23 04:47;0;2;"All incoming sensible refugees / immigrants should be routed into Republican counties to redress the damage of Obama's voting agenda!";;;;"1208957365522972672";https://twitter.com/TonyFrance7/status/1208957365522972672
FactsReason;2019-12-22 15:19;0;0;"Genuine refugees would claim asylum in France Illegal immigrants would not";;;;"1208753941560856578";https://twitter.com/FactsReason/status/1208753941560856578
ShallowfriedMal;2019-12-21 10:57;0;1;"Bon voyage Good luck in the shithole now known as #France The #EU @EUCouncil in conjunction with @EmmanuelMacron are doing all they can to replace the #French with #immigrants #migrants #illegals #refugees #AsylumSeekers Ou est @MLP_officiel";;@EUCouncil @EmmanuelMacron @MLP_officiel;#France #EU #French #immigrants #migrants #illegals #refugees #AsylumSeekers;"1208325588047585280";https://twitter.com/ShallowfriedMal/status/1208325588047585280
Shaley6565;2019-12-20 22:27;0;0;"They are not refugees . If they were they would have sought asylum on continental Europe instead of coming to the UK. They are illegal immigrants and should be deported back to France .";;;;"1208136756358516737";https://twitter.com/Shaley6565/status/1208136756358516737
