label,text
1,"#Germany , 2018 Births: 787,000 Deaths: 955,000 Birth deficit: -167,000 Babies born to mothers with: German citizenship: 598,000 Foreign citizenship: 189,000 Birth deficit wld be 2x as high w/o foreigners. Immigrants / #refugees are saving Germany demographically. It's a fact."
1,"A few decades from now will history be looking back on America’s treatment of immigrants and refugees in the same horrified way we view Hitler’s and Nazi Germany ’s treatment of Jews?"
1,"But I'm not just or I'm too (since voted to join in 1974 till leaves in ????) has an abysmal record pre, during & post WW2 vs immigrants most recently using 1 million refugees as an excuse to elect fascists from Poland,Hungary, Germany ,Italy to Paris and now"
1,"The right analogy will be, it's year 1945, world war 2 has just ended. US has just announced that all the Jews who are persecuted in Germany will be awarded US citizenship through a fast track process. Sounds quite humane I guess? There is a diff. between immigrants and refugees ."
1,"Maybe there is a connection? The largest jew extermination group in Nazis Germany was the largest SS division made up of entirely muslims from the muslim brotherhood. Merkel allows muslim immigrants into Germany as refugees but could it be for cleansing of jews? Just asking."
1,"Mmm. but these are debatable categories. If you accommodate people as refugees for humanitarian reasons, then the economic arguments cited by advocates of mass migration, should not matter. Sweden and Germany have very high unemployment among recent immigrants ."
1,"refugee camp, wgeremigrants live in horrific conditions. Germany reported the largest influx of immigrants that year, totalling over 1.1 million, due to Angela Merkels open border policy. The immigration system collapsed and caused a migration crisis. Germany faced serious econ-"
1,"...And another thing! When did Conservatives actually care about people of the Jewish faith? If 2019 was 1933, would you be welcoming into the UK, Jewish refugees fleeing Nazi Germany ? Or would you be complaining about immigrants comin' over 'ere!?"
0,"Please also don't invest in America as they are planning to deport illegal immigrants back to their countries. Don't invest in China because they have illegally captured Tibet Don't invest in France and Germany because they don't take Serian refugees . Better go invest in Africa. https:// twitter.com/TimDraper/stat us/1207674025616519173 …"
0,"10. Contrary to Germany , the EU is anti- immigrant . The refugee crisis has plagued them long enough and their long-term plan isn’t a final resolution to the problem. They are paying neighbouring countries off to reduce the (cont.)"
0,"I believe Art is: (1) an Iranian refugee who came as a child immigrant with family via Germany (2) not white (3) has a writer mother who's writing was not allowed in Iran and for which she would likely have been jailed there But by all means, begin your lecture on privilege"
1,"Has no one seen the crime increases in other countries that had a spike in immigrants or "
0,"Native population birth rate is below replacement. Immigrant or "
0,"Pretty well, looking at their low crime rates and prosperous economy. Interesting how what you don’t like about Germany is their acceptance of refugees and immigrants , though. Interesting."
1,"Refugees should be taken on humanitarian grounds. Further, Germany has refugees up the wazoo but still has labor shortages and is advertising for immigrants . To fill labor shortages you need people with specific skills not just bodies."
1,"new mandate letter to immigration minister says 1 million new immigrants in 2020-2022 this does NOT include refugees or illegals germany with a population of 83 million could NOT withstand these massive immigration levels in 2015 WHY do the liberals not understand this?"
1,"Look at Germany , Italy, UK borders open for immigrants & who goes inside Christians? No Muslims. They spread their religion how, through wars & marriage, & which Christian countries give us refugee status? Nobody. Even Christians kill Christians"
0,"It was the first thing I though of and then wondered whether I am the only one with such a suspicious mind! Actually it depends when she immigrated. Before 1945 - mostly Germans Jews and other refugees from Germany . 1946 -1952 German immigrants were virtually all Nazis."
1,"Economically #Germany is the most stable nation to bear immigrants from 2nd largest refugee seeking nation in the world. #USA is already overloaded by immigrants . If #Germany can help #Poland why not #Pakistan ? @AngelaMerkelCDU @ImranKhanPTI pic.twitter.com/SxDKrzfIpL"
1,"You should provide the equal public services to all kinds of immigrants . There are many immigrants in Germany came legally with high educational degree and a decent resumé but they don't have proper services provide by state as it is provided for refugees ! Is this fair? NO"
0,"Wars, poverty or #climatechange - there are many reasons for flight. Find out here how #Germany combats the causes of flight, supports #refugees and host countries and helps #immigrants to arrive. http:// ms.spr.ly/6014TnVAw #politics #migration #GRF @Refugees #RefugeeForum pic.twitter.com/um7ydAxrBt"
0,"why is there even a discussion about a 16 year girl posting her picture on train ? Why doesn't the German press concentrate on violent attacks on immigrants and refugees instead of shit stirring? I expected more from the German press. What a bitter disappointment. #GretaGate"
0,"Just an example. That some immigrants came here legally. It wasn’t against our law to take in refugees from Germany during the war."
0,"Germany was a hub of immigrants and refugees from southern and Eastern following the 1905 revolution in Russia and WW1. One of the major population groups moving during that time were Ashkenazi Jews from Poland and Ukraine."
1,"Also, some food banks don't take immigrants or refugees . There was the case of a food bank in Germany last year that became a huge talking point. They reversed the decision, though."
